Format Version,1.23,Take Name,Take 2023-12-20 11.05.48 AM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2023-12-20 11.05.49.614 ,Total Frames in Take,2341,Total Exported Frames,2341,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody
,ID,"7B42B7B29F1D11EE7FE6B7EAD028679D","7B42B7B29F1D11EE7FE6B7EAD028679D","7B42B7B29F1D11EE7FE6B7EAD028679D","7B42B7B29F1D11EE7FE6B7EAD028679D","7B42B7B29F1D11EE7FE6B7EAD028679D","7B42B7B29F1D11EE7FE6B7EAD028679D","7B42B7B29F1D11EE7FE6B7EAD028679D"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
62,0.620000,0.001680,-0.005417,0.004932,-0.999972,7.973876,689.445923,140.720764
63,0.630000,0.001484,-0.005410,0.004712,-0.999973,7.984713,689.456543,140.720078
64,0.640000,0.001998,-0.005378,0.004737,-0.999972,7.975567,689.454895,140.685944
65,0.650000,0.001518,-0.005712,0.004896,-0.999971,7.963514,689.463623,140.737000
66,0.660000,0.001533,-0.005483,0.004739,-0.999973,7.981721,689.449829,140.704910
67,0.670000,0.001788,-0.005601,0.004698,-0.999972,7.945368,689.477295,140.693481
68,0.680000,0.001620,-0.005488,0.004846,-0.999972,7.970796,689.449768,140.728485
69,0.690000,0.001758,-0.005580,0.004875,-0.999971,7.963140,689.455444,140.686630
70,0.700000,0.001552,-0.005474,0.004817,-0.999972,7.976617,689.453674,140.712906
71,0.710000,0.001421,-0.005441,0.004758,-0.999973,7.978669,689.448486,140.720062
72,0.720000,0.001683,-0.005476,0.004762,-0.999972,7.989179,689.445496,140.736389
73,0.730000,0.001491,-0.005533,0.004700,-0.999973,7.981495,689.445190,140.720367
74,0.740000,0.001683,-0.005480,0.004786,-0.999972,7.973341,689.450317,140.726364
75,0.750000,0.001651,-0.005592,0.004908,-0.999971,7.973652,689.450989,140.718796
76,0.760000,0.001808,-0.005463,0.004797,-0.999972,7.966128,689.466003,140.675201
77,0.770000,0.001548,-0.005438,0.004844,-0.999972,7.981052,689.448181,140.717056
78,0.780000,0.001725,-0.005348,0.004890,-0.999972,7.972265,689.452576,140.717010
79,0.790000,0.001635,-0.005473,0.004853,-0.999972,7.956715,689.470459,140.681076
80,0.800000,0.001519,-0.005476,0.004633,-0.999973,7.988293,689.439575,140.720764
81,0.810000,0.001388,-0.005495,0.004893,-0.999972,7.978755,689.452209,140.731140
82,0.820000,0.001623,-0.005590,0.004916,-0.999971,7.970849,689.453369,140.720520
83,0.830000,0.001664,-0.005242,0.004939,-0.999973,7.981853,689.455811,140.703323
84,0.840000,0.001393,-0.005404,0.004957,-0.999972,7.967148,689.467346,140.724609
85,0.850000,0.001536,-0.005462,0.004800,-0.999972,7.980552,689.456909,140.724503
86,0.860000,0.001651,-0.005486,0.004873,-0.999972,7.973827,689.453918,140.725220
87,0.870000,0.001577,-0.005555,0.004846,-0.999972,7.981616,689.446472,140.735336
88,0.880000,0.001705,-0.005410,0.004819,-0.999972,7.963924,689.465698,140.677307
89,0.890000,0.001468,-0.005482,0.004750,-0.999973,7.979978,689.456177,140.730469
90,0.900000,0.001865,-0.005408,0.004954,-0.999971,7.960439,689.472168,140.681107
91,0.910000,0.001415,-0.005598,0.004628,-0.999973,7.981722,689.449585,140.726868
92,0.920000,0.001620,-0.005556,0.004819,-0.999972,7.982947,689.454102,140.726822
93,0.930000,0.001641,-0.005792,0.004873,-0.999970,7.963563,689.455505,140.740952
94,0.940000,0.001457,-0.005518,0.004598,-0.999973,7.971021,689.461792,140.725861
95,0.950000,0.001489,-0.005739,0.004745,-0.999971,7.973026,689.459412,140.729935
96,0.960000,0.001839,-0.005570,0.004650,-0.999972,7.964819,689.454712,140.693436
97,0.970000,0.001815,-0.005382,0.004899,-0.999972,7.958593,689.462524,140.675934
98,0.980000,0.001608,-0.005809,0.004706,-0.999971,7.953300,689.471924,140.724701
99,0.990000,0.001576,-0.005746,0.004647,-0.999972,7.944405,689.470154,140.703415
100,1.000000,0.001699,-0.005263,0.004814,-0.999973,7.984963,689.441040,140.725372
101,1.010000,0.001678,-0.005326,0.004856,-0.999973,7.964304,689.451721,140.697998
102,1.020000,0.001559,-0.005638,0.004805,-0.999971,7.973260,689.452271,140.721420
103,1.030000,0.001556,-0.005416,0.004931,-0.999972,7.973140,689.456421,140.716370
104,1.040000,0.001642,-0.005672,0.004891,-0.999971,7.970892,689.449951,140.732147
105,1.050000,0.001625,-0.005354,0.004817,-0.999973,7.971974,689.456909,140.714554
106,1.060000,0.001681,-0.005468,0.004995,-0.999971,7.970029,689.453491,140.723602
107,1.070000,0.001894,-0.005711,0.004630,-0.999971,7.942071,689.473267,140.693619
108,1.080000,0.001695,-0.005665,0.004886,-0.999971,7.960976,689.460205,140.695602
109,1.090000,0.001777,-0.005625,0.004724,-0.999972,7.963108,689.464233,140.688675
110,1.100000,0.001618,-0.005688,0.004648,-0.999972,7.959788,689.464783,140.731613
111,1.110000,0.001490,-0.005739,0.004822,-0.999971,7.975747,689.445740,140.744308
112,1.120000,0.001692,-0.005391,0.004847,-0.999972,7.974686,689.450256,140.698700
113,1.130000,0.001499,-0.005478,0.004768,-0.999973,7.983003,689.458435,140.715042
114,1.140000,0.001850,-0.005466,0.004841,-0.999972,7.965784,689.461487,140.690094
115,1.150000,0.001700,-0.005631,0.004845,-0.999971,7.970977,689.456055,140.746552
116,1.160000,0.001725,-0.005641,0.004828,-0.999971,7.972854,689.459351,140.724518
117,1.170000,0.001792,-0.005420,0.004873,-0.999972,7.984016,689.447632,140.732895
118,1.180000,0.001536,-0.005595,0.004821,-0.999972,7.980528,689.466553,140.751541
119,1.190000,0.001820,-0.005744,0.004736,-0.999971,7.967171,689.460449,140.718277
120,1.200000,0.001487,-0.005657,0.004820,-0.999971,7.976124,689.463562,140.744690
121,1.210000,0.001601,-0.005399,0.004738,-0.999973,7.988356,689.459778,140.730347
122,1.220000,0.001795,-0.005677,0.004854,-0.999970,7.985183,689.464233,140.748108
123,1.230000,0.001553,-0.005884,0.004701,-0.999970,7.972749,689.470581,140.778824
124,1.240000,0.001605,-0.005729,0.004737,-0.999971,7.987969,689.456848,140.762177
125,1.250000,0.001674,-0.005825,0.004685,-0.999971,7.988957,689.455688,140.765137
126,1.260000,0.001608,-0.005610,0.005037,-0.999970,7.990801,689.470642,140.762375
127,1.270000,0.001762,-0.005575,0.004921,-0.999971,7.993579,689.461792,140.766647
128,1.280000,0.001853,-0.005693,0.004886,-0.999970,7.980166,689.475098,140.733780
129,1.290000,0.001752,-0.006046,0.004672,-0.999969,7.970763,689.465454,140.800522
130,1.300000,0.001742,-0.005768,0.004919,-0.999970,7.993124,689.464844,140.788422
131,1.310000,0.001736,-0.005887,0.004672,-0.999970,7.989826,689.472168,140.764236
132,1.320000,0.001931,-0.005733,0.004895,-0.999970,7.993902,689.453125,140.789291
133,1.330000,0.001665,-0.006036,0.004748,-0.999969,7.986880,689.460266,140.800186
134,1.340000,0.001930,-0.005643,0.004857,-0.999970,7.981258,689.467529,140.744492
135,1.350000,0.001770,-0.005716,0.004887,-0.999970,7.992153,689.472717,140.795120
136,1.360000,0.001810,-0.005797,0.004850,-0.999970,8.005833,689.453979,140.815384
137,1.370000,0.001573,-0.005899,0.004784,-0.999970,8.006535,689.475891,140.807098
138,1.380000,0.001545,-0.005974,0.004865,-0.999969,7.994987,689.467834,140.811035
139,1.390000,0.001955,-0.005885,0.004738,-0.999970,7.985319,689.466553,140.765198
140,1.400000,0.001751,-0.005863,0.004824,-0.999970,8.011064,689.470642,140.823608
141,1.410000,0.001764,-0.005827,0.004700,-0.999970,8.006827,689.469971,140.800491
142,1.420000,0.001747,-0.005996,0.004683,-0.999970,7.980147,689.489014,140.780685
143,1.430000,0.001662,-0.005827,0.004791,-0.999970,8.006882,689.474243,140.807312
144,1.440000,0.001696,-0.005926,0.004853,-0.999969,8.001245,689.458557,140.806030
145,1.450000,0.001766,-0.005795,0.004779,-0.999970,8.007673,689.480835,140.806412
146,1.460000,0.001858,-0.005831,0.005037,-0.999969,7.998890,689.464722,140.805359
147,1.470000,0.001834,-0.005832,0.004971,-0.999969,7.996535,689.467896,140.819427
148,1.480000,0.001668,-0.006127,0.004613,-0.999969,7.991779,689.480469,140.827591
149,1.490000,0.001766,-0.006024,0.004951,-0.999968,7.980050,689.481384,140.816177
150,1.500000,0.001846,-0.005831,0.004699,-0.999970,8.012994,689.477661,140.824844
151,1.510000,0.001634,-0.006142,0.004941,-0.999968,8.006829,689.464111,140.830170
152,1.520000,0.001680,-0.006164,0.004789,-0.999968,8.010404,689.475342,140.832626
153,1.530000,0.001936,-0.005814,0.004900,-0.999969,8.010929,689.470642,140.817200
154,1.540000,0.001883,-0.005981,0.004689,-0.999969,7.993431,689.475037,140.783661
155,1.550000,0.001749,-0.005965,0.004772,-0.999969,8.002263,689.474548,140.829544
156,1.560000,0.001880,-0.005934,0.004955,-0.999968,7.992105,689.493652,140.794235
157,1.570000,0.001610,-0.006155,0.004759,-0.999968,8.014199,689.463379,140.840637
158,1.580000,0.001751,-0.006139,0.004734,-0.999968,7.990081,689.490234,140.834976
159,1.590000,0.001863,-0.006159,0.004825,-0.999968,8.007229,689.467102,140.842468
160,1.600000,0.001978,-0.006045,0.004873,-0.999968,8.001228,689.479248,140.807327
161,1.610000,0.001667,-0.005942,0.004908,-0.999969,8.007706,689.485901,140.833801
162,1.620000,0.001739,-0.006204,0.004568,-0.999969,8.002647,689.491638,140.848206
163,1.630000,0.001709,-0.006010,0.004971,-0.999968,8.012227,689.485535,140.850708
164,1.640000,0.001775,-0.005935,0.004821,-0.999969,8.015197,689.482666,140.814911
165,1.650000,0.001887,-0.005966,0.004857,-0.999969,8.003652,689.484863,140.814148
166,1.660000,0.001687,-0.006269,0.004883,-0.999967,8.002700,689.479858,140.864304
167,1.670000,0.001605,-0.006247,0.004700,-0.999968,7.993975,689.496460,140.849243
168,1.680000,0.001821,-0.006006,0.005009,-0.999968,8.005986,689.488953,140.835251
169,1.690000,0.002048,-0.005942,0.004714,-0.999969,8.010449,689.477417,140.801254
170,1.700000,0.001828,-0.005829,0.004947,-0.999969,8.007552,689.494141,140.799881
171,1.710000,0.001852,-0.006015,0.004743,-0.999969,8.019444,689.488098,140.839478
172,1.720000,0.001812,-0.006121,0.004783,-0.999968,8.019265,689.482605,140.849442
173,1.730000,0.001969,-0.005961,0.004852,-0.999969,8.000355,689.499329,140.798248
174,1.740000,0.001685,-0.006287,0.004737,-0.999968,7.994482,689.486877,140.861374
175,1.750000,0.001896,-0.006015,0.004789,-0.999969,8.016110,689.478821,140.836792
176,1.760000,0.002007,-0.006115,0.004847,-0.999968,7.996566,689.492126,140.802414
177,1.770000,0.001899,-0.006274,0.004704,-0.999968,8.001714,689.480591,140.845505
178,1.780000,0.002016,-0.006069,0.004864,-0.999968,8.002192,689.487793,140.827499
179,1.790000,0.001482,-0.006120,0.004595,-0.999970,8.017500,689.496704,140.857025
180,1.800000,0.001676,-0.006544,0.004818,-0.999966,7.995923,689.489502,140.856262
181,1.810000,0.001896,-0.006173,0.004867,-0.999967,8.021047,689.474426,140.844299
182,1.820000,0.002078,-0.005972,0.004733,-0.999969,8.006873,689.481750,140.804947
183,1.830000,0.001723,-0.006045,0.004772,-0.999969,8.016873,689.488525,140.847839
184,1.840000,0.002109,-0.006140,0.004860,-0.999967,8.001662,689.469543,140.815552
185,1.850000,0.001989,-0.005894,0.004865,-0.999969,7.999561,689.483948,140.800415
186,1.860000,0.001887,-0.005867,0.004715,-0.999970,8.012760,689.488770,140.814499
187,1.870000,0.001681,-0.006149,0.004746,-0.999968,8.016626,689.480713,140.862549
188,1.880000,0.002055,-0.005804,0.004830,-0.999969,8.011431,689.486511,140.797623
189,1.890000,0.001657,-0.005942,0.004894,-0.999969,8.015541,689.475403,140.848358
190,1.900000,0.001898,-0.006109,0.004734,-0.999968,8.006014,689.481628,140.814407
191,1.910000,0.001708,-0.006244,0.004973,-0.999967,8.005030,689.482056,140.875443
192,1.920000,0.001635,-0.006267,0.004890,-0.999967,8.016484,689.477966,140.869278
193,1.930000,0.001585,-0.006200,0.004899,-0.999968,8.014326,689.477661,140.852936
194,1.940000,0.001655,-0.006149,0.004799,-0.999968,8.015491,689.484436,140.863083
195,1.950000,0.001599,-0.006323,0.004755,-0.999967,8.002574,689.485168,140.859360
196,1.960000,0.001847,-0.006011,0.004867,-0.999968,8.015225,689.480774,140.840866
197,1.970000,0.002152,-0.005793,0.004820,-0.999969,8.002161,689.474426,140.810104
198,1.980000,0.001868,-0.006101,0.004869,-0.999968,8.008718,689.486572,140.851181
199,1.990000,0.002036,-0.006064,0.004764,-0.999968,8.003794,689.478760,140.806259
200,2.000000,0.001936,-0.005987,0.004674,-0.999969,8.006442,689.487732,140.812988
201,2.010000,0.001663,-0.005950,0.004856,-0.999969,8.020643,689.489990,140.844574
202,2.020000,0.001556,-0.006289,0.004762,-0.999968,8.018093,689.478821,140.876114
203,2.030000,0.001806,-0.005922,0.004771,-0.999969,8.021541,689.483582,140.844284
204,2.040000,0.001719,-0.005925,0.004879,-0.999969,8.019980,689.479614,140.847672
205,2.050000,0.002148,-0.006122,0.004817,-0.999967,7.990170,689.487427,140.830490
206,2.060000,0.001769,-0.006209,0.004782,-0.999968,8.020232,689.472717,140.869034
207,2.070000,0.001705,-0.006101,0.004655,-0.999969,8.012134,689.489990,140.829681
208,2.080000,0.002027,-0.005828,0.004817,-0.999969,8.003215,689.487183,140.817368
209,2.090000,0.001764,-0.006031,0.004865,-0.999968,8.004542,689.485718,140.844360
210,2.100000,0.001927,-0.005967,0.004879,-0.999968,8.014331,689.465271,140.846878
211,2.110000,0.001611,-0.006256,0.004869,-0.999967,8.010283,689.488281,140.862717
212,2.120000,0.001709,-0.006010,0.004842,-0.999969,8.014097,689.476318,140.841873
213,2.130000,0.001661,-0.006292,0.004750,-0.999968,8.015337,689.481873,140.860870
214,2.140000,0.001716,-0.006139,0.004841,-0.999968,8.007467,689.483154,140.852005
215,2.150000,0.001766,-0.006195,0.004690,-0.999968,8.018660,689.469849,140.849747
216,2.160000,0.001908,-0.006098,0.004718,-0.999968,8.012662,689.489319,140.799103
217,2.170000,0.002006,-0.005968,0.004868,-0.999968,7.994355,689.486145,140.795425
218,2.180000,0.001683,-0.006095,0.004786,-0.999969,8.015677,689.476990,140.858994
219,2.190000,0.001713,-0.006236,0.004701,-0.999968,8.008403,689.472778,140.843826
220,2.200000,0.001812,-0.006064,0.004997,-0.999968,8.010915,689.479980,140.845917
221,2.210000,0.001525,-0.006109,0.004833,-0.999968,8.025183,689.485291,140.845108
