Format Version,1.23,Take Name,Take 2023-12-12 11.00.19 AM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2023-12-12 11.00.19.349 ,Total Frames in Take,1430,Total Exported Frames,1430,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,mano,mano,mano,mano,mano,mano,mano,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody
,ID,"7D898DEB935011EE83E6B7EAD028669D","7D898DEB935011EE83E6B7EAD028669D","7D898DEB935011EE83E6B7EAD028669D","7D898DEB935011EE83E6B7EAD028669D","7D898DEB935011EE83E6B7EAD028669D","7D898DEB935011EE83E6B7EAD028669D","7D898DEB935011EE83E6B7EAD028669D","21EC515A98D511EE83E6B7EAD028669D","21EC515A98D511EE83E6B7EAD028669D","21EC515A98D511EE83E6B7EAD028669D","21EC515A98D511EE83E6B7EAD028669D","21EC515A98D511EE83E6B7EAD028669D","21EC515A98D511EE83E6B7EAD028669D","21EC515A98D511EE83E6B7EAD028669D"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
46,0.460000,,,,,,,,0.101943,0.004551,-0.045935,-0.993719,1.558607,-0.336052,-0.960362
47,0.470000,,,,,,,,0.101895,0.005273,-0.045714,-0.993730,1.558647,-0.336072,-0.960241
48,0.480000,,,,,,,,0.101371,0.005140,-0.045968,-0.993773,1.558694,-0.336079,-0.960136
49,0.490000,,,,,,,,0.101260,0.005016,-0.045986,-0.993784,1.558733,-0.336094,-0.960029
50,0.500000,,,,,,,,0.101050,0.007256,-0.046966,-0.993746,1.558779,-0.336037,-0.959858
51,0.510000,,,,,,,,0.102161,0.005233,-0.045719,-0.993703,1.558779,-0.336217,-0.959798
52,0.520000,,,,,,,,0.101846,0.007538,-0.046248,-0.993696,1.558821,-0.336148,-0.959550
53,0.530000,,,,,,,,0.102243,0.007870,-0.046083,-0.993660,1.558848,-0.336211,-0.959438
54,0.540000,,,,,,,,0.102067,0.007400,-0.046291,-0.993672,1.558834,-0.336237,-0.959346
55,0.550000,,,,,,,,0.102424,0.007499,-0.046031,-0.993647,1.558827,-0.336259,-0.959220
56,0.560000,,,,,,,,0.102174,0.007610,-0.045619,-0.993691,1.558875,-0.336274,-0.959058
57,0.570000,,,,,,,,0.102973,0.008165,-0.045183,-0.993624,1.558895,-0.336350,-0.958881
58,0.580000,,,,,,,,0.103102,0.008542,-0.045171,-0.993608,1.558877,-0.336399,-0.958708
59,0.590000,,,,,,,,0.103393,0.008259,-0.045263,-0.993576,1.558857,-0.336457,-0.958601
60,0.600000,,,,,,,,0.103066,0.008813,-0.045889,-0.993576,1.558847,-0.336405,-0.958456
61,0.610000,,,,,,,,0.103854,0.008450,-0.045657,-0.993508,1.558825,-0.336466,-0.958370
62,0.620000,,,,,,,,0.104288,0.008818,-0.045579,-0.993463,1.558811,-0.336508,-0.958229
63,0.630000,,,,,,,,0.104469,0.008325,-0.045649,-0.993445,1.558738,-0.336503,-0.958157
64,0.640000,,,,,,,,0.104979,0.008846,-0.045092,-0.993412,1.558707,-0.336561,-0.958075
65,0.650000,,,,,,,,0.104808,0.008348,-0.044892,-0.993444,1.558680,-0.336611,-0.958061
66,0.660000,,,,,,,,0.105444,0.008134,-0.044529,-0.993394,1.558635,-0.336681,-0.958073
67,0.670000,,,,,,,,0.105511,0.008807,-0.044590,-0.993379,1.558609,-0.336700,-0.958072
68,0.680000,,,,,,,,0.105180,0.008585,-0.044551,-0.993418,1.558603,-0.336712,-0.958144
69,0.690000,,,,,,,,0.105304,0.008840,-0.044584,-0.993401,1.558591,-0.336720,-0.958199
70,0.700000,,,,,,,,0.105478,0.008453,-0.044469,-0.993391,1.558567,-0.336730,-0.958310
71,0.710000,,,,,,,,0.105782,0.008533,-0.044316,-0.993365,1.558559,-0.336740,-0.958488
72,0.720000,,,,,,,,0.104804,0.007995,-0.044629,-0.993459,1.558573,-0.336724,-0.958710
73,0.730000,,,,,,,,0.104558,0.009147,-0.045305,-0.993444,1.558586,-0.336629,-0.958980
74,0.740000,,,,,,,,0.104117,0.008830,-0.045032,-0.993506,1.558607,-0.336627,-0.959234
75,0.750000,,,,,,,,0.103746,0.008528,-0.045034,-0.993547,1.558595,-0.336621,-0.959509
76,0.760000,,,,,,,,0.102519,0.007632,-0.045214,-0.993674,1.558611,-0.336690,-0.959878
77,0.770000,,,,,,,,0.101407,0.007727,-0.045585,-0.993770,1.558636,-0.336643,-0.960205
78,0.780000,,,,,,,,0.100288,0.008094,-0.045973,-0.993863,1.558656,-0.336661,-0.960556
79,0.790000,,,,,,,,0.099968,0.008424,-0.045836,-0.993899,1.558671,-0.336691,-0.960906
80,0.800000,,,,,,,,0.100200,0.005217,-0.044691,-0.993949,1.558670,-0.336887,-0.961398
81,0.810000,,,,,,,,0.101593,0.017242,-0.049776,-0.993430,1.558657,-0.336061,-0.961073
82,0.820000,,,,,,,,0.101083,0.017256,-0.049683,-0.993487,1.558659,-0.336105,-0.961427
83,0.830000,,,,,,,,0.101475,0.018445,-0.050204,-0.993399,1.558582,-0.336184,-0.961776
84,0.840000,,,,,,,,0.102339,0.005207,-0.043966,-0.993764,1.558521,-0.337276,-0.962924
85,0.850000,,,,,,,,0.100479,0.007566,-0.044743,-0.993904,1.558603,-0.337341,-0.963432
86,0.860000,,,,,,,,0.099983,0.007922,-0.044657,-0.993955,1.558667,-0.337336,-0.963760
87,0.870000,,,,,,,,0.101248,0.005002,-0.044154,-0.993868,1.558605,-0.337399,-0.964033
88,0.880000,,,,,,,,0.097643,0.007335,-0.045552,-0.994151,1.558710,-0.337390,-0.964484
89,0.890000,,,,,,,,0.095611,0.009740,-0.043375,-0.994426,1.558773,-0.337343,-0.964931
90,0.900000,,,,,,,,0.096162,0.007155,-0.043661,-0.994382,1.558747,-0.337398,-0.965460
91,0.910000,,,,,,,,0.096923,0.008194,-0.042499,-0.994350,1.558837,-0.337476,-0.965618
92,0.920000,,,,,,,,0.096650,0.008752,-0.042452,-0.994374,1.558888,-0.337539,-0.965952
93,0.930000,,,,,,,,0.095162,0.008607,-0.043914,-0.994456,1.559014,-0.337570,-0.966439
94,0.940000,,,,,,,,0.096974,0.007196,-0.043975,-0.994289,1.558928,-0.337753,-0.966973
95,0.950000,,,,,,,,0.098588,0.016093,-0.050861,-0.993697,1.559078,-0.336902,-0.966819
96,0.960000,,,,,,,,0.099776,0.016895,-0.051424,-0.993537,1.559175,-0.336914,-0.967351
97,0.970000,,,,,,,,0.096417,-0.003422,-0.043309,-0.994393,1.559283,-0.338324,-0.968865
98,0.980000,,,,,,,,0.101216,0.005253,-0.040499,-0.994026,1.559774,-0.338483,-0.969151
99,0.990000,,,,,,,,0.099450,0.004424,-0.041125,-0.994183,1.560029,-0.338408,-0.969671
100,1.000000,,,,,,,,0.099370,0.004197,-0.041043,-0.994195,1.560217,-0.338387,-0.970135
101,1.010000,,,,,,,,0.097993,0.002941,-0.041323,-0.994324,1.560444,-0.338360,-0.970719
102,1.020000,,,,,,,,0.097375,0.000784,-0.040744,-0.994413,1.560654,-0.338461,-0.971389
103,1.030000,,,,,,,,0.094789,-0.002151,-0.042273,-0.994597,1.560794,-0.338317,-0.972011
104,1.040000,,,,,,,,0.095299,-0.001899,-0.041304,-0.994590,1.561023,-0.338279,-0.972457
105,1.050000,,,,,,,,0.093395,-0.003403,-0.042997,-0.994694,1.561309,-0.338047,-0.973161
106,1.060000,,,,,,,,0.092360,-0.003787,-0.043450,-0.994770,1.561633,-0.337918,-0.973792
107,1.070000,,,,,,,,0.095571,-0.000513,-0.041313,-0.994565,1.562000,-0.337992,-0.974276
108,1.080000,,,,,,,,0.097377,-0.001653,-0.040811,-0.994409,1.562227,-0.338046,-0.974872
109,1.090000,,,,,,,,0.093911,0.006766,-0.045950,-0.994497,1.562683,-0.337167,-0.975132
110,1.100000,,,,,,,,,,,,,,
111,1.110000,,,,,,,,0.097406,-0.008125,-0.039760,-0.994417,1.563582,-0.338239,-0.977301
112,1.120000,,,,,,,,0.097805,-0.008649,-0.038740,-0.994414,1.563975,-0.338283,-0.977980
113,1.130000,,,,,,,,0.099687,-0.013307,-0.039101,-0.994161,1.564086,-0.338441,-0.979083
114,1.140000,,,,,,,,0.099216,-0.013693,-0.041092,-0.994123,1.564475,-0.338365,-0.979993
115,1.150000,,,,,,,,0.098398,-0.014295,-0.041305,-0.994187,1.564858,-0.338323,-0.980701
116,1.160000,,,,,,,,0.096593,-0.013920,-0.042550,-0.994317,1.565344,-0.338026,-0.981336
117,1.170000,,,,,,,,0.095021,-0.013062,-0.043346,-0.994445,1.565893,-0.337786,-0.982033
118,1.180000,,,,,,,,,,,,,,
119,1.190000,,,,,,,,,,,,,,
